date,tweet_id
2020-01-01,1
2020-01-04,2
2020-01-05,1
2020-01-06,2
2020-01-08,9
2020-01-09,49
2020-01-10,136
2020-01-11,95
2020-01-12,27
2020-01-13,22
2020-01-14,2
2020-01-17,67
2020-01-18,77
2020-01-19,17
2020-01-20,478
2020-01-21,983
2020-01-22,4241
2020-01-23,6584
2020-01-24,9189
2020-01-25,13407
2020-01-26,15145
2020-01-27,416905
2020-01-28,1308420
2020-01-29,1486491
2020-01-30,1773301
2020-01-31,1702224
2020-02-01,1057392
2020-02-02,1142846
2020-02-03,891125
2020-02-04,798596
2020-02-05,663079
2020-02-06,705280
2020-02-07,770948
2020-02-08,147548
2020-02-09,6435
2020-02-10,398577
2020-02-11,713530
2020-02-12,588058
2020-02-13,648791
2020-02-14,500366
2020-02-15,504255
2020-02-16,487058
2020-02-17,493422
2020-02-18,572457
2020-02-19,563784
2020-02-20,465234
2020-02-21,665466
2020-02-22,691373
2020-02-23,923953
2020-02-24,1354675
2020-02-25,1938052
2020-02-26,2275517
2020-02-27,1020680
2020-02-28,46067
2020-02-29,36321
2020-03-01,1346470
2020-03-02,1749975
2020-03-03,1304890
2020-03-04,2010998
2020-03-05,2310954
2020-03-06,2521410
2020-03-07,1497550
2020-03-08,2506410
2020-03-09,2452091
2020-03-10,2604304
2020-03-11,2636803
2020-03-12,2825932
2020-03-13,4333212
2020-03-14,4531667
2020-03-15,4584118
2020-03-16,4577343
2020-03-17,4556031
2020-03-18,4603244
2020-03-19,4492387
2020-03-20,4489513
2020-03-21,4719508
2020-03-22,4576109
2020-03-23,4480283
2020-03-24,4572453
2020-03-25,4462656
2020-03-26,4521680
2020-03-27,4586754
2020-03-28,4239696
2020-03-29,4216335
2020-03-30,4125180
2020-03-31,3784404
2020-04-01,3613866
2020-04-02,3616910
2020-04-03,3630448
2020-04-04,4005503
2020-04-05,3618811
2020-04-06,3953128
2020-04-07,3497162
2020-04-08,3956244
2020-04-09,3609304
2020-04-10,3970422
2020-04-11,3718901
2020-04-12,4039603
2020-04-13,3667456
2020-04-14,3810744
2020-04-15,3753509
2020-04-16,3892091
2020-04-17,3381480
2020-04-18,3644711
2020-04-19,3499161
2020-04-20,3488807
2020-04-21,4046736
2020-04-22,3667252
2020-04-23,3532120
2020-04-24,3591506
2020-04-25,3630832
2020-04-26,3622810
2020-04-27,3561193
2020-04-28,3767400
2020-04-29,3848159
2020-04-30,3376908
2020-05-01,3010748
2020-05-02,3142656
2020-05-03,299145
