date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,total
26/02/2020,3679,1059,9918,2092,63396,6065,4177,682,35073,11737,1825,1158,12956,4749,1645,1860,2343,4222,1245,7258,8115,9992,6057,948,4302,718,1346,5030,1555,9170,2020,38635,6974,260,11428,2465,7727,14486,783,4546,478,7677,26199,1603,622,9841,6791,1473,5027,282,373689
27/02/2020,3417,915,10643,1789,67297,6127,3900,582,33154,11556,1753,1263,12501,4658,1635,2070,2534,4187,1213,6550,7925,9944,6177,951,4254,801,1182,5317,1472,8790,1780,34929,6943,240,11761,2504,8080,14442,866,4374,350,7648,27072,1853,655,9930,7451,1457,4786,245,371923
28/02/2020,3178,1088,10496,1733,67359,5718,3881,579,32244,11421,1800,1367,12456,4179,1509,2043,2380,4090,1378,6831,7992,9662,6137,911,4386,700,1134,5398,1422,8974,1746,34109,7195,218,11342,2202,9036,14953,848,4516,381,7567,27933,1881,641,10143,7855,1454,4768,251,371485
01/03/2020,2969,942,9132,1566,56139,4889,3253,549,31793,10839,1538,1202,10342,3444,1205,1543,2023,4027,935,5702,6902,8046,5252,783,3909,561,1094,4805,1240,8261,1454,33821,6137,192,9480,2054,7227,12560,1184,4211,337,6460,28823,1655,468,8366,8000,1325,4014,208,332861
02/03/2020,352,211,1143,190,10447,518,355,67,3498,1295,354,259,1305,394,115,174,225,495,123,645,707,767,587,83,407,83,100,786,120,948,217,5058,525,10,828,229,1157,1131,73,332,28,597,3896,216,22,932,1466,152,389,37,44048
03/03/2020,5300,1366,14251,2951,87402,8007,5540,807,49361,21383,2777,1895,18313,6029,2245,2592,3363,7133,1599,11018,11567,13030,7774,1371,5993,964,1672,7516,1865,13682,2370,57076,12366,398,16770,3342,10756,20178,1176,7263,494,9566,44943,2594,677,13199,14174,2185,6436,466,545195
06/03/2020,12136,3188,31771,5759,243674,21492,13736,2060,106141,40024,6883,3919,44431,17115,5414,6404,12219,14794,4165,31131,32061,31830,20427,3162,13943,2039,4624,20223,4189,34637,4782,134641,24821,990,38943,9334,24265,55365,3382,14184,1125,23519,107605,6929,1569,31853,35891,4880,14783,643,1333095
07/03/2020,3315,1062,10238,1739,76875,6072,4221,639,32687,12541,2048,1301,13330,4378,1678,2145,2977,4419,1164,8244,9093,9506,5884,944,4509,676,1434,5840,1310,10265,1612,41694,7191,238,11112,2540,8078,14725,1043,4278,370,6786,31784,2135,535,10130,10150,1467,4507,220,401129
09/03/2020,1976,452,5769,1059,41251,3563,2174,354,17828,7860,923,653,7666,2481,980,1106,1700,3028,632,4398,5000,5357,3343,596,2598,387,793,3028,624,5860,948,22460,4106,160,7922,1340,4081,8211,501,2402,191,4589,18192,1059,242,5442,4611,754,2561,129,223340
10/03/2020,3243,761,8423,1624,65171,5234,3734,565,27134,12542,1560,1001,11512,3987,1571,1714,2590,4870,992,7242,8836,9059,4613,938,3683,544,1108,4575,1119,9883,1309,35004,7011,207,12555,2123,5839,13082,782,3722,364,6770,28870,1494,406,8519,7143,1292,3936,214,350470
11/03/2020,7504,1652,17977,4343,137889,11751,7495,1267,58439,27471,3218,2237,30155,9307,3776,4236,6642,11446,2149,15973,19093,22808,10947,2567,8959,1085,2547,9570,2180,20753,3697,78226,15612,555,27567,5595,12576,29608,1906,8047,782,15269,75968,4081,788,19977,15784,2826,9693,428,794421
12/03/2020,4479,821,11146,2386,80245,6102,4123,702,33849,15523,1725,1161,16101,5038,2058,2551,3510,6507,1143,9197,9529,11634,6219,1646,5077,686,1640,6208,1066,11229,2012,39264,8652,345,14897,3006,7051,15472,876,4640,433,8570,45045,2624,424,10444,7543,1680,5187,273,441739
17/03/2020,4462,871,11644,2280,81235,6721,4417,715,36206,15173,2008,1467,15896,4869,2081,2673,3254,6720,1236,9095,10130,11142,6014,1486,5240,642,1457,6640,1332,11162,1908,42422,9082,415,14067,3384,7315,15487,1013,5451,441,8483,44194,2097,534,10482,7686,1826,4948,293,449796
18/03/2020,1368,268,3838,760,26736,2184,1413,210,11509,4697,668,471,5326,1674,730,859,1107,2038,385,2864,3317,3746,2200,488,1773,263,485,2056,480,3505,697,13333,2752,134,4941,1113,2532,5031,312,1606,140,2804,13897,814,175,3570,2687,536,1727,112,146331
19/03/2020,1819,403,4858,1165,35472,3152,2077,376,15995,6739,746,656,7430,2357,1039,1102,1554,3029,595,4358,5172,4882,2984,689,2277,316,709,2618,695,5312,859,19984,4442,178,6766,1537,3374,7439,487,2305,192,3844,18445,974,290,5097,3524,667,2575,154,203709
24/03/2020,2093,388,5640,1106,36648,3391,2135,327,17792,7067,916,811,7325,2385,1063,1233,1950,3060,673,4023,5265,5439,3153,708,2750,436,703,2763,800,5145,955,20763,4226,187,6804,1639,4039,8164,488,2641,210,3990,16725,1059,327,5336,4095,756,2674,197,212463
25/03/2020,1179,179,3125,559,20954,1896,1273,187,9544,3594,583,406,4036,1116,537,675,846,1542,338,2335,2861,2897,1839,367,1320,250,492,1723,380,2827,575,11411,2206,101,3426,752,2148,4278,262,1306,99,2146,9349,557,173,2765,2341,412,1423,88,115678
26/03/2020,1528,307,4456,770,27622,2816,1687,277,13077,5080,715,606,5963,1773,712,859,1309,2287,485,3240,3756,4271,2595,528,1958,301,603,2229,580,3964,749,16104,3097,134,4919,1140,3078,6033,335,1799,170,2911,13428,888,217,4047,3119,556,2032,144,161254
27/03/2020,1389,286,2699,732,18483,1858,1537,307,11019,4035,594,553,4538,1675,734,691,996,1578,594,2646,3499,3344,2001,381,1694,243,435,1511,535,3428,583,14043,2661,117,4189,800,2082,5599,366,1443,138,2262,9298,532,241,3633,1886,558,1472,78,125996
28/03/2020,484,114,1253,248,8552,801,444,95,4179,1477,162,161,1630,521,191,260,323,695,140,898,1174,1344,755,149,548,82,154,674,155,1370,201,5007,940,71,1556,304,920,1936,119,494,56,800,3943,282,64,1202,894,179,552,27,48580
29/03/2020,1991,465,4857,1044,30292,2846,2325,364,17982,6511,922,743,6908,2358,1067,1064,1394,2635,735,3873,4951,5621,3287,617,2226,355,691,2544,818,5431,861,20830,3745,168,6219,1275,3237,7921,475,2335,208,3876,14809,926,293,5147,3231,790,2577,168,196008
30/03/2020,3052,610,9014,1534,51756,5221,3201,483,27227,9918,1253,1059,11188,3360,1521,1688,2589,4281,972,6141,7822,8501,4876,1128,3806,606,1103,4116,1164,8041,1413,31390,6003,275,10251,2254,5460,12027,793,3569,287,6268,24887,1601,388,8481,5926,1026,3839,256,313625
